,dassco0024,Top,dassco0215,Side,dassco0063,dassco0056,dassco0218,total
57,0 days 00:00:00.096304,0 days 00:00:00.121886,0 days 00:00:00.145601,0 days 00:00:00.121683,0 days 00:00:00.121603,0 days 00:00:00.096083,0 days 00:00:00.024838,0 days 00:00:00.145912
58,0 days 00:00:00.148840,0 days 00:00:00.099201,0 days 00:00:00.099275,0 days 00:00:00.174278,0 days 00:00:00.174323,0 days 00:00:00.174191,0 days 00:00:00.099318,0 days 00:00:00.174643
59,0 days 00:00:00.145512,0 days 00:00:00.119276,0 days 00:00:00.119312,0 days 00:00:00.119235,0 days 00:00:00.095425,0 days 00:00:00.119165,0 days 00:00:00.024771,0 days 00:00:00.148606
60,0 days 00:00:00.151175,0 days 00:00:00.150810,0 days 00:00:00.097987,0 days 00:00:00.098099,0 days 00:00:00.098055,0 days 00:00:00.026590,0 days 00:00:00.026668,0 days 00:00:00.153375
61,0 days 00:00:00.094429,0 days 00:00:00.094631,0 days 00:00:00.143415,0 days 00:00:00.143561,0 days 00:00:00.094666,0 days 00:00:00.094587,0 days 00:00:00.024843,0 days 00:00:00.145561
62,0 days 00:00:00.124713,0 days 00:00:00.124758,0 days 00:00:00.124634,0 days 00:00:00.124798,0 days 00:00:00.096988,0 days 00:00:00.026311,0 days 00:00:00.026390,0 days 00:00:00.125119
63,0 days 00:00:00.120536,0 days 00:00:00.096239,0 days 00:00:00.096172,0 days 00:00:00.096282,0 days 00:00:00.120613,0 days 00:00:00.146209,0 days 00:00:00.027371,0 days 00:00:00.147401
64,0 days 00:00:00.095663,0 days 00:00:00.123373,0 days 00:00:00.123446,0 days 00:00:00.123530,0 days 00:00:00.123488,0 days 00:00:00.095546,0 days 00:00:00.024892,0 days 00:00:00.123878
65,0 days 00:00:00.025596,0 days 00:00:00.165617,0 days 00:00:00.095136,0 days 00:00:00.165655,0 days 00:00:00.165384,0 days 00:00:00.095016,0 days 00:00:00.165569,0 days 00:00:00.165911
66,0 days 00:00:00.097832,0 days 00:00:00.123948,0 days 00:00:00.124178,0 days 00:00:00.124132,0 days 00:00:00.124216,0 days 00:00:00.124029,0 days 00:00:00.147587,0 days 00:00:00.149625
67,0 days 00:00:00.144864,0 days 00:00:00.051310,0 days 00:00:00.098779,0 days 00:00:00.051268,0 days 00:00:00.144930,0 days 00:00:00.075832,0 days 00:00:00.051192,0 days 00:00:00.145925
68,0 days 00:00:00.097554,0 days 00:00:00.121571,0 days 00:00:00.097687,0 days 00:00:00.149104,0 days 00:00:00.121483,0 days 00:00:00.097640,0 days 00:00:00.026026,0 days 00:00:00.149420
69,0 days 00:00:00.097831,0 days 00:00:00.122120,0 days 00:00:00.097656,0 days 00:00:00.122309,0 days 00:00:00.122262,0 days 00:00:00.097729,0 days 00:00:00.024772,0 days 00:00:00.122710
70,0 days 00:00:00.093779,0 days 00:00:00.118160,0 days 00:00:00.118199,0 days 00:00:00.118271,0 days 00:00:00.118117,0 days 00:00:00.117975,0 days 00:00:00.024845,0 days 00:00:00.118534
71,0 days 00:00:00.075807,0 days 00:00:00.101250,0 days 00:00:00.101324,0 days 00:00:00.101107,0 days 00:00:00.101288,0 days 00:00:00.101177,0 days 00:00:00.024709,0 days 00:00:00.102346
72,0 days 00:00:00.098487,0 days 00:00:00.100944,0 days 00:00:00.098417,0 days 00:00:00.147680,0 days 00:00:00.100993,0 days 00:00:00.147608,0 days 00:00:00.025560,0 days 00:00:00.147876
73,0 days 00:00:00.143851,0 days 00:00:00.120113,0 days 00:00:00.120049,0 days 00:00:00.094438,0 days 00:00:00.120160,0 days 00:00:00.094238,0 days 00:00:00.024912,0 days 00:00:00.144075
74,,,0 days 00:00:00.137691,,0 days 00:00:00.091131,0 days 00:00:00.023836,,0 days 00:00:00.138026
75,0 days 00:00:00.090449,0 days 00:00:00.090376,0 days 00:00:00.137288,0 days 00:00:00.023858,0 days 00:00:00.090490,0 days 00:00:00.137203,0 days 00:00:00.090586,0 days 00:00:00.138473
